L1,L2,L3,L4,L5,L6,L7,L8,L9,R1,R2,W1,W2,W3,W4,W5,W6,W7,W8,W9
7.640000000000006e-07,4.829999999999998e-06,4.16e-06,3.660000000000002e-06,5.290000000000004e-07,3.06e-06,2.340000000000001e-06,2.3300000000000014e-06,3.06e-06,2559018.000000001,261903.9999999999,9.999999999999997e-06,7.449999999999997e-05,6.369999999999995e-05,1.4599999999999989e-05,1.7500000000000008e-06,2.43e-05,7.929999999999999e-05,2.1000000000000002e-05,2.7899999999999977e-05
9.611768620102094e-07,6.485312747049285e-06,4.583566029411704e-06,2.5752017899338957e-06,3.850773849042908e-07,1.7139840763790539e-06,1.3128430005488982e-06,2.2493755255730047e-06,3.3459365208280348e-06,1379948.1829666316,192100.9392275992,6.510025021044628e-06,9.684268793405296e-05,3.7477171410106785e-05,8.248644902451563e-06,1.0517506379895494e-06,2.464767217017063e-05,4.256824756716758e-05,3.032582875761204e-05,4.1652516415414006e-05
5.000101089995295e-07,2.696657747462271e-06,4.134152337160189e-06,4.906189139583717e-06,3.7809235639824476e-07,1.8257076396504913e-06,1.9231994407898097e-06,3.0649666498022477e-06,2.63133662252465e-06,2165649.680222363,338412.90279508894,1.1283852942983988e-05,7.117939400153333e-05,4.912019641103853e-05,1.8435874033638358e-05,2.053323177110678e-06,2.418745904903074e-05,7.590946983703338e-05,1.7313719324233785e-05,2.959082658462563e-05
1.0532515237840655e-06,6.230509445996231e-06,4.30418231514127e-06,3.5709364813482636e-06,6.847459196731503e-07,2.986641014008484e-06,1.4538877544784305e-06,1.9255371399361673e-06,2.4311655446460495e-06,2863765.7053950476,280349.11674386833,5.3186221520174845e-06,8.04590187674631e-05,7.709891258054344e-05,1.269437949852558e-05,1.5258602344840906e-06,2.5154912963286554e-05,8.464434324579309e-05,2.037559436892259e-05,2.605001531332139e-05
5.209259321838521e-07,6.3468515411053485e-06,2.4092004238990095e-06,5.445297645302826e-06,5.974278078435186e-07,3.511014934524211e-06,2.6585623133083617e-06,1.511567431051133e-06,3.49830247568154e-06,1384301.010867908,385411.7640365294,8.345459054227433e-06,4.293740367205616e-05,8.450906331432054e-05,1.7586124129734595e-05,2.1161573046288088e-06,1.27180434914065e-05,0.00011794313226199448,2.707956392477631e-05,4.1577925201244724e-05
7.625389082887966e-07,4.867787511648025e-06,4.4819508706412636e-06,4.87409886137931e-06,5.810093333183679e-07,3.1472562842549228e-06,3.139354188674105e-06,1.5290422007752607e-06,3.959123132047146e-06,3334795.369543874,335381.1262018467,1.1621402911596134e-05,3.9505067334629045e-05,5.561723747118864e-05,1.564051290430607e-05,1.6077931294372332e-06,3.331137452459213e-05,0.00011201403571612372,1.5281484246501454e-05,3.136776881110457e-05
9.551041225849924e-07,7.0008690709666e-06,3.235868646594387e-06,4.287770841111178e-06,6.8096583694465e-07,3.1803960032034536e-06,1.5226987031456512e-06,3.21943662266311e-06,3.874323011998347e-06,2654583.5552963507,316082.3354541775,5.660948020159563e-06,7.402092241961138e-05,4.98163163353059e-05,1.5213226627036707e-05,2.311679963842805e-06,1.957728505884683e-05,7.559381235424588e-05,1.7943199049188892e-05,3.378065173996639e-05
8.909016739587859e-07,4.716979864309664e-06,6.229122775115326e-06,3.4047489698012727e-06,4.6495186776603853e-07,4.342485290278054e-06,2.0936614003982534e-06,3.0741802162288212e-06,4.575871478010448e-06,2088495.3790306782,329421.50427901035,8.17226296961198e-06,7.762803302641718e-05,7.425619638532737e-05,1.6712693733986478e-05,2.4155746371984874e-06,2.4559142895249598e-05,4.2578093944894186e-05,1.1540162265530942e-05,3.2370932950418305e-05
1.1367521224828344e-06,5.6346796807509595e-06,3.018498653885439e-06,2.7851785385106773e-06,5.134592425751279e-07,2.924002260590482e-06,2.454477655635725e-06,2.328362010257771e-06,4.536265537837695e-06,2856396.268062496,264474.7663317145,6.9320562864204935e-06,9.163278818815406e-05,5.485110146024618e-05,2.06807383786128e-05,1.0934255528444623e-06,3.171122257655082e-05,4.2332611473623885e-05,3.13291596728693e-05,2.122977593199722e-05
5.78323874869326e-07,3.4356371399242645e-06,2.516863869378661e-06,5.285758684745759e-06,3.0634425595976054e-07,3.4784319655222325e-06,2.275585835643812e-06,2.1725236151122054e-06,4.207789865564221e-06,3830740.3677427825,324432.95300567587,7.939470775051818e-06,3.875066893348899e-05,5.0387358073985465e-05,1.0141303229454924e-05,1.4490054390835932e-06,2.3541935716787427e-05,7.647603547679796e-05,3.0654679086657426e-05,1.9737820522333655e-05
