c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
4.500000000000007e-12,5.2768000000000076e-12,7.704399999999999e-07,8.919999999999993e-07,1.391000000000001e-06,1.6725100000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,7.649999999999993e-06,1.7715120000000013e-06,7.119999999999996e-05,3.179000000000001e-05,3.972000000000001e-06,1.0238999999999993e-05,5.119500000000002e-05,9.499999999999995e-05
6.459078605194795e-12,7.393472160905836e-12,6.457875207847376e-07,6.469100634948776e-07,9.505484101593701e-07,9.282054039510919e-07,1.4560799494095768e-06,6.468118936753155e-07,1.4577732917946224e-06,8.391275677947775e-07,4.278737095088866e-06,2.337034148178447e-06,9.280225913850054e-05,3.0624083494012665e-05,5.053792579893677e-06,1.2786659952322817e-05,4.867068488101156e-05,7.442028675147392e-05
2.8912027617300055e-12,7.440730236491162e-12,4.4616623219826973e-07,1.0932894588341916e-06,8.035561574051824e-07,1.9567621622227788e-06,5.602936054155353e-07,6.112539766999213e-07,9.7534299694033e-07,5.809578961843204e-07,4.069440526282749e-06,2.0188457369318035e-06,9.933640820496722e-05,3.125696456118359e-05,5.313187579644462e-06,1.237882178358676e-05,7.336396724473845e-05,0.00014006380320024026
5.945531053760241e-12,6.871293623801467e-12,6.981016903952257e-07,1.192522464873207e-06,2.0290831370395195e-06,1.0464198330208454e-06,5.627762398312646e-07,1.4730725048792665e-06,1.4514993108296677e-06,7.416277038050873e-07,1.0112130944210145e-05,1.0757441404299797e-06,9.46522656230339e-05,3.480300965292554e-05,2.9294311633980288e-06,5.951383964849677e-06,5.4991224526596265e-05,0.00012005714532406834
4.896706010068177e-12,7.630650331716899e-12,9.286461417416797e-07,8.604892717421871e-07,1.9683005556595387e-06,1.805633591328138e-06,7.391995650077273e-07,8.895009631179362e-07,9.221159008966479e-07,6.640605093753981e-07,4.016248446758091e-06,9.78957639762836e-07,8.389969623239134e-05,2.3965703957542688e-05,2.589962368211526e-06,7.142552680398914e-06,6.748951352957981e-05,0.00013221734160668165
2.7344550597118573e-12,6.3803464225220516e-12,7.323026658573054e-07,9.976221735414928e-07,1.4089997988451226e-06,1.283382159877975e-06,9.85485265790689e-07,7.246456342207058e-07,8.56186164841914e-07,1.1702896961747727e-06,5.1992431759276965e-06,1.2701188122811954e-06,0.00010039920661156678,3.6064494079927476e-05,5.167310603625596e-06,1.456312782426307e-05,4.5676014406210404e-05,0.00012515248711583395
4.92773428892808e-12,5.49281559278359e-12,6.732169699682763e-07,8.706891149598232e-07,1.1702435583869103e-06,2.132508667941666e-06,8.014220971351391e-07,1.4787138056264706e-06,5.489390880657535e-07,7.705634083865131e-07,9.3809884775772e-06,1.7082109573722422e-06,4.4139700993157596e-05,4.3482122825892924e-05,3.748294738245634e-06,7.508969829639662e-06,6.022787925284013e-05,0.00012291585030249272
4.634178129867698e-12,3.2970722033715985e-12,9.319462633369993e-07,8.06507735968073e-07,1.6135736577357478e-06,1.1363139069783335e-06,5.397955580466289e-07,1.0870744210008134e-06,7.381306712104043e-07,5.143064515403008e-07,6.003047471385973e-06,1.4519142055765982e-06,9.538899906784548e-05,3.661234513405723e-05,2.235137793851969e-06,1.401574972911642e-05,7.670096644572838e-05,0.00011116681535696596
4.134633428504949e-12,7.691713248734346e-12,4.4874936781347305e-07,1.1077602492937152e-06,1.8700984259322366e-06,2.146259615378674e-06,1.133894136474113e-06,1.4816813887375014e-06,1.3828247555627046e-06,5.971303913703211e-07,1.0262295619295757e-05,2.496227241300838e-06,0.00010311681372620626,1.9983003888238203e-05,3.2501159451177212e-06,1.3374458319579823e-05,7.374036748934617e-05,0.00012129202718077955
4.2944367175425525e-12,6.547677266586748e-12,8.282472563973764e-07,8.817555147884182e-07,1.591859774535115e-06,2.422310914401678e-06,1.302443004904298e-06,9.104289593490516e-07,7.51409956928025e-07,5.026237519281104e-07,6.053277059069432e-06,2.6204270542072626e-06,6.578060749811114e-05,3.306426564257956e-05,2.238895979228505e-06,6.575598373654148e-06,7.605503128947888e-05,9.839409545122496e-05
