iter_times,ppm,dc_current,psrr
1,39.3,3.98e-05,69.64
2,39.3,3.98e-05,69.64
3,39.3,3.98e-05,69.64
4,39.3,3.98e-05,69.64
5,39.3,3.98e-05,69.64
6,39.3,3.98e-05,69.64
7,39.3,3.98e-05,69.64
8,39.3,3.98e-05,69.64
9,39.3,3.98e-05,69.64
10,39.3,3.98e-05,69.64
11,39.3,3.98e-05,69.64
12,39.3,3.98e-05,69.64
13,39.3,3.98e-05,69.64
14,39.3,3.98e-05,69.64
15,39.3,3.98e-05,69.64
16,39.3,3.98e-05,69.64
17,39.3,3.98e-05,69.64
18,39.3,3.98e-05,69.64
19,39.3,3.98e-05,69.64
20,39.3,3.98e-05,69.64
21,39.3,3.98e-05,69.64
22,39.3,3.98e-05,69.64
23,39.3,3.98e-05,69.64
24,39.3,3.98e-05,69.64
25,39.3,3.98e-05,69.64
26,39.3,3.98e-05,69.64
27,39.3,3.98e-05,69.64
28,39.3,3.98e-05,69.64
29,39.3,3.98e-05,69.64
30,39.3,3.98e-05,69.64
31,39.3,3.98e-05,69.64
32,39.3,3.98e-05,69.64
33,21.4071766206573,3.390356321320812e-05,72.30057746125134
34,21.4071766206573,3.390356321320812e-05,72.30057746125134
35,21.4071766206573,3.390356321320812e-05,72.30057746125134
36,21.4071766206573,3.390356321320812e-05,72.30057746125134
37,21.4071766206573,3.390356321320812e-05,72.30057746125134
38,21.4071766206573,3.390356321320812e-05,72.30057746125134
39,21.4071766206573,3.390356321320812e-05,72.30057746125134
40,21.4071766206573,3.390356321320812e-05,72.30057746125134
41,21.4071766206573,3.390356321320812e-05,72.30057746125134
42,21.4071766206573,3.390356321320812e-05,72.30057746125134
43,21.4071766206573,3.390356321320812e-05,72.30057746125134
44,21.4071766206573,3.390356321320812e-05,72.30057746125134
45,21.4071766206573,3.390356321320812e-05,72.30057746125134
46,21.4071766206573,3.390356321320812e-05,72.30057746125134
47,21.4071766206573,3.390356321320812e-05,72.30057746125134
48,21.4071766206573,3.390356321320812e-05,72.30057746125134
49,21.4071766206573,3.390356321320812e-05,72.30057746125134
50,21.4071766206573,3.390356321320812e-05,72.30057746125134
51,21.4071766206573,3.390356321320812e-05,72.30057746125134
52,21.4071766206573,3.390356321320812e-05,72.30057746125134
53,21.4071766206573,3.390356321320812e-05,72.30057746125134
54,13.456796810786697,3.3620880891343715e-05,69.67737183338264
55,13.456796810786697,3.3620880891343715e-05,69.67737183338264
56,13.456796810786697,3.3620880891343715e-05,69.67737183338264
57,13.456796810786697,3.3620880891343715e-05,69.67737183338264
58,13.456796810786697,3.3620880891343715e-05,69.67737183338264
59,13.456796810786697,3.3620880891343715e-05,69.67737183338264
60,13.456796810786697,3.3620880891343715e-05,69.67737183338264
61,13.456796810786697,3.3620880891343715e-05,69.67737183338264
62,13.456796810786697,3.3620880891343715e-05,69.67737183338264
63,13.456796810786697,3.3620880891343715e-05,69.67737183338264
64,13.456796810786697,3.3620880891343715e-05,69.67737183338264
65,13.456796810786697,3.3620880891343715e-05,69.67737183338264
66,13.456796810786697,3.3620880891343715e-05,69.67737183338264
67,13.456796810786697,3.3620880891343715e-05,69.67737183338264
68,13.456796810786697,3.3620880891343715e-05,69.67737183338264
69,13.456796810786697,3.3620880891343715e-05,69.67737183338264
70,13.456796810786697,3.3620880891343715e-05,69.67737183338264
71,13.456796810786697,3.3620880891343715e-05,69.67737183338264
72,13.456796810786697,3.3620880891343715e-05,69.67737183338264
73,13.456796810786697,3.3620880891343715e-05,69.67737183338264
74,13.456796810786697,3.3620880891343715e-05,69.67737183338264
75,13.456796810786697,3.3620880891343715e-05,69.67737183338264
76,13.456796810786697,3.3620880891343715e-05,69.67737183338264
77,13.456796810786697,3.3620880891343715e-05,69.67737183338264
78,13.456796810786697,3.3620880891343715e-05,69.67737183338264
79,13.456796810786697,3.3620880891343715e-05,69.67737183338264
80,13.456796810786697,3.3620880891343715e-05,69.67737183338264
81,13.456796810786697,3.3620880891343715e-05,69.67737183338264
82,13.456796810786697,3.3620880891343715e-05,69.67737183338264
83,13.456796810786697,3.3620880891343715e-05,69.67737183338264
84,13.456796810786697,3.3620880891343715e-05,69.67737183338264
85,13.456796810786697,3.3620880891343715e-05,69.67737183338264
86,13.456796810786697,3.3620880891343715e-05,69.67737183338264
87,13.456796810786697,3.3620880891343715e-05,69.67737183338264
88,13.456796810786697,3.3620880891343715e-05,69.67737183338264
89,13.456796810786697,3.3620880891343715e-05,69.67737183338264
90,13.456796810786697,3.3620880891343715e-05,69.67737183338264
91,13.456796810786697,3.3620880891343715e-05,69.67737183338264
92,13.456796810786697,3.3620880891343715e-05,69.67737183338264
93,13.456796810786697,3.3620880891343715e-05,69.67737183338264
94,13.456796810786697,3.3620880891343715e-05,69.67737183338264
95,13.456796810786697,3.3620880891343715e-05,69.67737183338264
96,13.456796810786697,3.3620880891343715e-05,69.67737183338264
97,13.456796810786697,3.3620880891343715e-05,69.67737183338264
98,13.456796810786697,3.3620880891343715e-05,69.67737183338264
99,13.456796810786697,3.3620880891343715e-05,69.67737183338264
100,13.456796810786697,3.3620880891343715e-05,69.67737183338264
101,13.456796810786697,3.3620880891343715e-05,69.67737183338264
102,13.456796810786697,3.3620880891343715e-05,69.67737183338264
103,13.456796810786697,3.3620880891343715e-05,69.67737183338264
104,13.456796810786697,3.3620880891343715e-05,69.67737183338264
105,13.456796810786697,3.3620880891343715e-05,69.67737183338264
106,13.456796810786697,3.3620880891343715e-05,69.67737183338264
107,13.456796810786697,3.3620880891343715e-05,69.67737183338264
108,13.456796810786697,3.3620880891343715e-05,69.67737183338264
109,13.456796810786697,3.3620880891343715e-05,69.67737183338264
