iter_times,ppm,dc_current,psrr
1,39.3,3.98e-05,69.64
2,39.3,3.98e-05,69.64
3,39.3,3.98e-05,69.64
4,39.3,3.98e-05,69.64
5,39.3,3.98e-05,69.64
6,39.3,3.98e-05,69.64
7,39.3,3.98e-05,69.64
8,39.3,3.98e-05,69.64
9,39.3,3.98e-05,69.64
10,39.3,3.98e-05,69.64
11,39.3,3.98e-05,69.64
12,39.3,3.98e-05,69.64
13,39.3,3.98e-05,69.64
14,39.3,3.98e-05,69.64
15,39.3,3.98e-05,69.64
16,39.3,3.98e-05,69.64
17,39.3,3.98e-05,69.64
18,39.3,3.98e-05,69.64
19,39.3,3.98e-05,69.64
20,39.3,3.98e-05,69.64
21,39.3,3.98e-05,69.64
22,39.3,3.98e-05,69.64
23,39.3,3.98e-05,69.64
24,39.3,3.98e-05,69.64
25,39.3,3.98e-05,69.64
26,39.3,3.98e-05,69.64
27,39.3,3.98e-05,69.64
28,39.3,3.98e-05,69.64
29,39.3,3.98e-05,69.64
30,39.3,3.98e-05,69.64
31,39.3,3.98e-05,69.64
32,39.3,3.98e-05,69.64
33,39.3,3.98e-05,69.64
34,39.3,3.98e-05,69.64
35,39.3,3.98e-05,69.64
36,39.3,3.98e-05,69.64
37,39.3,3.98e-05,69.64
38,39.3,3.98e-05,69.64
39,39.3,3.98e-05,69.64
40,39.3,3.98e-05,69.64
41,39.3,3.98e-05,69.64
42,39.3,3.98e-05,69.64
43,39.3,3.98e-05,69.64
44,39.3,3.98e-05,69.64
45,39.3,3.98e-05,69.64
46,39.3,3.98e-05,69.64
47,39.3,3.98e-05,69.64
48,39.3,3.98e-05,69.64
49,39.3,3.98e-05,69.64
50,39.3,3.98e-05,69.64
51,39.3,3.98e-05,69.64
52,39.3,3.98e-05,69.64
53,39.3,3.98e-05,69.64
54,39.3,3.98e-05,69.64
55,39.3,3.98e-05,69.64
56,39.3,3.98e-05,69.64
57,39.3,3.98e-05,69.64
58,39.3,3.98e-05,69.64
59,39.3,3.98e-05,69.64
60,39.3,3.98e-05,69.64
61,39.3,3.98e-05,69.64
62,39.3,3.98e-05,69.64
63,39.3,3.98e-05,69.64
64,39.3,3.98e-05,69.64
65,39.3,3.98e-05,69.64
66,39.3,3.98e-05,69.64
67,39.3,3.98e-05,69.64
68,39.3,3.98e-05,69.64
69,39.3,3.98e-05,69.64
70,39.3,3.98e-05,69.64
71,39.3,3.98e-05,69.64
72,39.3,3.98e-05,69.64
73,39.3,3.98e-05,69.64
74,39.3,3.98e-05,69.64
75,39.3,3.98e-05,69.64
76,39.3,3.98e-05,69.64
77,39.3,3.98e-05,69.64
78,39.3,3.98e-05,69.64
79,39.3,3.98e-05,69.64
80,34.67100804550297,4.1112511943490355e-05,65.86777265602943
81,34.67100804550297,4.1112511943490355e-05,65.86777265602943
82,34.67100804550297,4.1112511943490355e-05,65.86777265602943
83,34.67100804550297,4.1112511943490355e-05,65.86777265602943
84,29.41312261071533,4.1519987746019105e-05,70.52455077609125
85,29.41312261071533,4.1519987746019105e-05,70.52455077609125
86,29.41312261071533,4.1519987746019105e-05,70.52455077609125
87,29.41312261071533,4.1519987746019105e-05,70.52455077609125
88,29.41312261071533,4.1519987746019105e-05,70.52455077609125
89,29.41312261071533,4.1519987746019105e-05,70.52455077609125
90,29.41312261071533,4.1519987746019105e-05,70.52455077609125
91,29.41312261071533,4.1519987746019105e-05,70.52455077609125
92,29.41312261071533,4.1519987746019105e-05,70.52455077609125
93,29.41312261071533,4.1519987746019105e-05,70.52455077609125
94,29.41312261071533,4.1519987746019105e-05,70.52455077609125
95,29.41312261071533,4.1519987746019105e-05,70.52455077609125
96,29.41312261071533,4.1519987746019105e-05,70.52455077609125
97,29.41312261071533,4.1519987746019105e-05,70.52455077609125
98,29.41312261071533,4.1519987746019105e-05,70.52455077609125
99,29.41312261071533,4.1519987746019105e-05,70.52455077609125
100,29.41312261071533,4.1519987746019105e-05,70.52455077609125
101,29.41312261071533,4.1519987746019105e-05,70.52455077609125
102,29.41312261071533,4.1519987746019105e-05,70.52455077609125
103,29.41312261071533,4.1519987746019105e-05,70.52455077609125
104,29.41312261071533,4.1519987746019105e-05,70.52455077609125
105,29.41312261071533,4.1519987746019105e-05,70.52455077609125
106,29.41312261071533,4.1519987746019105e-05,70.52455077609125
107,29.41312261071533,4.1519987746019105e-05,70.52455077609125
108,29.41312261071533,4.1519987746019105e-05,70.52455077609125
109,29.41312261071533,4.1519987746019105e-05,70.52455077609125
110,29.41312261071533,4.1519987746019105e-05,70.52455077609125
111,29.41312261071533,4.1519987746019105e-05,70.52455077609125
112,29.41312261071533,4.1519987746019105e-05,70.52455077609125
113,29.41312261071533,4.1519987746019105e-05,70.52455077609125
114,29.41312261071533,4.1519987746019105e-05,70.52455077609125
115,29.41312261071533,4.1519987746019105e-05,70.52455077609125
116,29.41312261071533,4.1519987746019105e-05,70.52455077609125
117,29.41312261071533,4.1519987746019105e-05,70.52455077609125
118,29.41312261071533,4.1519987746019105e-05,70.52455077609125
119,29.41312261071533,4.1519987746019105e-05,70.52455077609125
120,29.41312261071533,4.1519987746019105e-05,70.52455077609125
121,29.41312261071533,4.1519987746019105e-05,70.52455077609125
122,29.41312261071533,4.1519987746019105e-05,70.52455077609125
123,29.41312261071533,4.1519987746019105e-05,70.52455077609125
124,29.41312261071533,4.1519987746019105e-05,70.52455077609125
125,29.41312261071533,4.1519987746019105e-05,70.52455077609125
126,29.41312261071533,4.1519987746019105e-05,70.52455077609125
127,29.41312261071533,4.1519987746019105e-05,70.52455077609125
128,29.41312261071533,4.1519987746019105e-05,70.52455077609125
129,29.41312261071533,4.1519987746019105e-05,70.52455077609125
