iter_times,mean,var
1,0.00036,0.0
2,0.0002204047843404,0.00012743748837738423
3,0.00017699049967618001,0.00010253413057339951
4,0.0001629668200621,7.12769204220374e-05
5,0.0001629668200621,7.12769204220374e-05
6,0.00012971593823746,7.386089429296681e-06
7,0.00012971593823746,7.386089429296681e-06
8,0.00012971593823746,7.386089429296681e-06
9,0.0001264127786271,0.0
10,0.0001264127786271,0.0
11,0.0001264127786271,0.0
12,0.0001264127786271,0.0
13,0.0001264127786271,0.0
14,0.0001264127786271,0.0
15,0.0001264127786271,0.0
16,0.0001264127786271,0.0
17,0.0001264127786271,0.0
18,0.0001264127786271,0.0
19,0.0001264127786271,0.0
20,0.0001264127786271,0.0
21,0.00011093755310864816,2.0258678627263527e-05
22,9.463945461901698e-05,1.667109868675378e-05
23,9.463945461901698e-05,1.667109868675378e-05
24,9.448331547899698e-05,1.632716741975633e-05
25,9.448331547899698e-05,1.632716741975633e-05
26,9.448331547899698e-05,1.632716741975633e-05
27,9.331397595814952e-05,1.4576402594913989e-05
28,9.331397595814952e-05,1.4576402594913989e-05
29,9.331073815701121e-05,1.4578516097651345e-05
30,9.331073815701121e-05,1.4578516097651345e-05
31,9.331073815701121e-05,1.4578516097651345e-05
32,9.32648268644512e-05,1.4476929602256307e-05
33,9.32648268644512e-05,1.4476929602256307e-05
34,9.01259234524312e-05,7.600345536961068e-06
35,9.01259234524312e-05,7.600345536961068e-06
36,8.916969236451933e-05,7.84020435925686e-06
37,8.822129893815145e-05,5.719564330316425e-06
38,8.810907311271877e-05,5.468625208689001e-06
39,8.679955644765868e-05,2.540600173953996e-06
40,8.599043358117341e-05,7.320079734870264e-07
41,7.386130309896543e-05,1.2664594963579998e-05
42,7.332908571697772e-05,1.20065608569898e-05
43,7.332524692174047e-05,1.2012736135489196e-05
44,6.263445102376864e-05,6.546680005335387e-06
45,6.263445102376864e-05,6.546680005335387e-06
46,6.263445102376864e-05,6.546680005335387e-06
47,6.263445102376864e-05,6.546680005335387e-06
48,6.263445102376864e-05,6.546680005335387e-06
49,6.127780943643302e-05,4.207918140717189e-06
50,6.127780943643302e-05,4.207918140717189e-06
51,6.04713597567752e-05,3.387762630493609e-06
52,6.04713597567752e-05,3.387762630493609e-06
53,6.04713597567752e-05,3.387762630493609e-06
54,6.04713597567752e-05,3.387762630493609e-06
55,5.964617812423967e-05,3.4401391101754808e-06
56,5.964617812423967e-05,3.4401391101754808e-06
57,5.964617812423967e-05,3.4401391101754808e-06
58,5.964617812423967e-05,3.4401391101754808e-06
59,5.964554075035267e-05,3.4402936016807353e-06
60,5.964554075035267e-05,3.4402936016807353e-06
61,5.7004647533176464e-05,7.3482402295536e-06
62,5.5660474026808514e-05,7.764176660776056e-06
63,5.137204207130708e-05,6.649372375601555e-06
64,4.750806037918664e-05,7.170396241114642e-06
65,4.600765605573542e-05,4.907596943751727e-06
66,4.600725660566241e-05,4.908306324266566e-06
67,4.4748008076567206e-05,5.848233202724712e-06
68,4.431009801919572e-05,5.310829553093631e-06
69,4.431009801919572e-05,5.310829553093631e-06
70,4.431009801919572e-05,5.310829553093631e-06
71,4.431009801919572e-05,5.310829553093631e-06
72,4.2212862899759786e-05,4.3391834225973066e-06
73,4.139358570682816e-05,2.90918798495731e-06
74,4.0916502621257676e-05,2.349443600426529e-06
75,4.0236167114926503e-05,2.2933689878186067e-06
76,4.0236167114926503e-05,2.2933689878186067e-06
77,4.0233788604382424e-05,2.2939999385591688e-06
78,4.0233788604382424e-05,2.2939999385591688e-06
79,4.0233788604382424e-05,2.2939999385591688e-06
80,4.023370347567834e-05,2.2940558898559587e-06
